Nikki Reed (Ian Someralder),ENTP
Nims Purja,ENTP
Owen Benjamin,ENTP
Ozzy Ozbourne,ENTP
Pavel Duroy,ENTP
Penn Badgley,ENTP
Pete Davison,ENTP
Phillip Defranco,ENTP
Pink Pantheress,ENTP
Princess Nokia,ENTP
Rahdo Runs Through,ENTP
Rami Malek,ENTP
Rich Roll,ENTP
Robert Pattinson,ENTP
Ronnie Radke,ENTP
Russel Brunson,ENTP
Ryan Reynolds,ENTP
Sam Harris,ENTP
San Holo,ENTP
Serj Tankian,ENTP
Shane Dawson,ENTP
Shia LaBeouf,ENTP
Skeppy,ENTP
Skip Bayless,ENTP
Spencer Cornelia,ENTP
Stefan Molyneaux,ENTP
Stephen Bonnell aka Destiny,ENTP
Sweet Anita,ENTP
T. Mills,ENTP
Taika Waititi,ENTP
Tarl Warwick (Styx & Hammer),ENTP
The Third Ernest,ENTP
Thomas Middleditch,ENTP
Tim Dodd,ENTP
Timothee Chalamet,ENTP
Toby Fox,ENTP
Tom Hiddleston,ENTP
Tom Sturridge,ENTP
Trevor Noah,ENTP
Trey Parker,ENTP
Trey Songs,ENTP
Tupac,ENTP
Tyler the Medium,ENTP
Weird Al Yankovic,ENTP
Will Smith,ENTP
Will Tennyson,ENTP
Winona Rider,ENTP
Winston Sterzel,ENTP
Wiz Khalifa,ENTP
Yuval Noah Harari,ENTP
Zak Roedde,ENTP
Alex Jones,ENFP
Alexander Volkanovski,ENFP
Andrew Huberman,ENFP
Andrew Zimmern,ENFP
Becky G,ENFP
Bill Hader,ENFP
Bryn Kenney,ENFP
Casey Neistat,ENFP
Cedric Bixler-Zavala,ENFP
Chester Bennington,ENFP
Conor McGregor,ENFP
David Attenborough,ENFP
Dylan Matthiesen,ENFP
Edward Norton,ENFP
Gary Vaynerchuk,ENFP
Hafeez Baoku,ENFP
Huda Kattan,ENFP
Islam Makachev,ENFP
J. Cole,ENFP
Jeffree Star,ENFP
John Kiriakou,ENFP
Johnny Bananas,ENFP
Jordan Belfort,ENFP
Kevin Hart,ENFP
Kingface,ENFP
Kyle Drake,ENFP
Lauren Chen,ENFP
Leo Gura,ENFP
Lima Jevremovic,ENFP
Lin-Manuel Miranda,ENFP
Matt D'Avella,ENFP
Millie Bobby Brown,ENFP
Miranda Cosgrove,ENFP
Natureboy,ENFP
Ray William Johnson,ENFP
Robert F Kennedy,ENFP
Robin Williams,ENFP
Selena Quintanilla,ENFP
Steven Crowder,ENFP
Tim McllRath,ENFP
Tom Cruise,ENFP
Vishen Lakhiani,ENFP
Adin Ross,ISTJ
Anthony Fontana,ISTJ
Ben Shapiro,ISTJ
Billy Collins,ISTJ
Brian Cox,ISTJ
Charlie Munger,ISTJ
Cody Rhodes,ISTJ
Douglas Murray,ISTJ
Dr. Darren Schmidt,ISTJ
Edward Snowden,ISTJ
F.A. Hayek,ISTJ
G-Eazy,ISTJ
Jamie Vernon,ISTJ
Jim Rohn,ISTJ
John Cena,ISTJ
John Travolta,ISTJ
Julius Malema,ISTJ
Klaus Schwab,ISTJ
Leila Hormozi,ISTJ
Link Neal (Rhett & Link),ISTJ
Lonnie Love,ISTJ
Luke Tate,ISTJ
Mac DeMarco,ISTJ
Mac Jones,ISTJ
Mark Privitera,ISTJ
Marquett Devon Burton,ISTJ
Matt Stonie,ISTJ
Michelle Thaller,ISTJ
Michio Kaku,ISTJ
Nikola Jokic,ISTJ
Noam Chomskey,ISTJ
Nouman Ali Khan,ISTJ
Olivia Munn,ISTJ
Patrick Mahomes,ISTJ
Peter Schiff,ISTJ
Peter Zeihan,ISTJ
Ryder Carrol,ISTJ
Sal Kahn,ISTJ
Samantha Power,ISTJ
Sneako,ISTJ,UDUF
Soosh,ISTJ
Tyler The Creator Okonma,ISTJ
Warren Buffet,ISTJ
Yasir Qadhi,ISTJ
Alex Chilton,ISTP
Alex Kapranos,ISTP
Axl Rose,ISTP
Babyface,ISTP
Bill Burr,ISTP
Billie Eilish,ISTP
Bob Odenkirk,ISTP
Brett Michaels,ISTP
Bruce Springsteen,ISTP
CM Punk,ISTP
Chad Kroeger,ISTP
Charles Bukowski,ISTP
Charles Ross,ISTP
Charlie Puth,ISTP
Charlotte DuJardin,ISTP
Charlotte Wessels,ISTP
Chris martin,ISTP
Danny Duncan,ISTP
Darren Aronofsky,ISTP
Denzel Washington,ISTP
Derek Rose,ISTP
Diana, Princess of Wales,ISTP
Draymond Green,ISTP
Dustin Bates,ISTP
Eminem,ISTP
Erik Ten Hag,ISTP
Future the Rapper,ISTP
Garrett Rapp,ISTP
Giannis Antetokoupo,ISTP
Gnomecode,ISTP
Harry Styles,ISTP
Hayley Williams,ISTP
Jack Dorsey,ISTP
James May,ISTP
Jeff Lowe,ISTP
Jerry Cantrell,ISTP
Jim Caviezel,ISTP
Jimmy Lovine,ISTP
John Danaher,ISTP
Jonas Vingegaard,ISTP
JustPearlyThings,ISTP
Justin Bieber,ISTP
Justin Chancellor,ISTP
Justin Payne,ISTP
Justin Timberlake,ISTP
K. Flay,ISTP
Katy Bowman,ISTP
Kristen Stewart,ISTP
Kurt Caz,ISTP
Les Claypool,ISTP
Lindsay Lohan,ISTP
Lionel Messi,ISTP
Maria Brink,ISTP
Mark Duplass,ISTP
Mark Tremonti,ISTP
Mark Wahlberg,ISTP
Matt Berkey,ISTP
Michael Jordan,ISTP
Mikhaila Peterson,ISTP
Nas,ISTP
Nergal,ISTP
Nick Kyrgios,ISTP
Patrick Antonius,ISTP
Paul Ekman,ISTP
Paul Vunak,ISTP
Pearly,ISTP
Pep Guardiola,ISTP
Phil Ivey,ISTP
Ramsey Dewey,ISTP
Reese Roper,ISTP
Rich Cooper,ISTP
Rob Thomas,ISTP
Rob Zombie,ISTP
Roger Waters,ISTP
Sodapoppin,ISTP
Technoblade,ISTP
TikHistory,ISTP
Tom Hardy,ISTP
Tommy Emanuel,ISTP
Tommy Rogers,ISTP
Vanessa Rousso,ISTP
Vanessa Selbst,ISTP
Willow Smith,ISTP
Woody Harrelson,ISTP
50 Cent,INTJ
Addison Rae,INTJ
Adeptthebest,INTJ
Alex Becker,INTJ
Alex Iman,INTJ
Alex Rodriguez,INTJ
Ali Wong,INTJ
Allen Iverson,INTJ
Amber Heard,INTJ
Andrew Yang,INTJ
Anya Taylor Joy,INTJ
Arnold Schwarzenegger,INTJ
Ayn Rand,INTJ
Azealia Banks,INTJ
Bella Hadid,INTJ
Beyonce,INTJ
Bill Belichick,INTJ
Bill Murray,INTJ
Bill Nye,INTJ
Black Chyna,INTJ
Blake Lively,INTJ
Blixa Bargeld,INTJ
Brian Cox (actor),INTJ
Bridgit Mendler,INTJ
Brittany Renner,INTJ
Cameron Diaz,INTJ
Catherine (The ACE Family),INTJ
Chamath Palihapitiya,INTJ
Charlize Theron,INTJ
Christopher Hitchens,INTJ
Coi Leray,INTJ
Colonel Sanders,INTJ
Dave Ramsey,INTJ
Dave Superpowers,INTJ
Demi Lovato,INTJ
Dita Von Teese,INTJ
Doc Antle,INTJ
Doja Cat,INTJ
Erika Thompson,INTJ
Eva Green,INTJ
Eve Jobs,INTJ
Ezra Miller,INTJ
Faouzia,INTJ
FoxKirsten,INTJ
FreshPrinceCEO,INTJ
Gabrielle Union,INTJ
Geoffrey Rush,INTJ
George Soros,INTJ
Gisele Bundchen,INTJ
Grimes,INTJ
Gwen Shotwell,INTJ
Hannah Arendt,INTJ
Henry Kissinger,INTJ
Hikaru Nakamura,INTJ
Hillary Clinton,INTJ
Hugo Weaving,INTJ
Ice Spice,INTJ
Iggy Azalea,INTJ
Jack White (The White Stripes),INTJ
Jada Smith,INTJ
James Spader,INTJ
Jenna Ortega,INTJ
Jennette McCurdy,INTJ
Jennie Kim,INTJ
Jessica Alba,INTJ
Jim Gaffigan,INTJ
Jodie Foster,INTJ
John Cleese,INTJ
Joni Mitchell,INTJ
Jordan Peele,INTJ
Joseph Barbera,INTJ
Kate Winslet,INTJ
Katy Perry,INTJ
Khloe Kardashian,INTJ
Kristin Cavallari,INTJ
Kyedae,INTJ
Lauren German,INTJ
Lee Kuan Yew,INTJ
Lil Kim,INTJ
Lil Uzi Vert,INTJ
Lili Rose Depp,INTJ
Lily Collins,INTJ
Lindsey Defranco,INTJ
Lisa Ling,INTJ
Liv Boeree,INTJ
Lori Harvey,INTJ
Louis CK,INTJ
Luke Belmar,INTJ
Madelyn Cline,INTJ
Madison Beer,INTJ
Madonna,INTJ
Mads Mikkelsen,INTJ
Magnus Carlsen,INTJ
Margot Robbie,INTJ
Marilyn Mach Vos Savant,INTJ
Mark Zuckerberg,INTJ
Matt Walsh,INTJ
Maximilian Cooper,INTJ
Max Richter,INTJ
Mia Khalifa,INTJ
Mike Budenholzer,INTJ
Mike David,INTJ
Mila Kunis,INTJ
Misha Mansoor,INTJ
Mohammed Bin Salman,INTJ
Monica Lewinsky,INTJ
Mrs. Midwest,INTJ
Nina Dobrev,INTJ
Olivia Wilde,INTJ
Paris Hilton,INTJ
Paul Heyman,INTJ
Paul Keating,INTJ
Paul McGann,INTJ
Paul Rennick,INTJ
Peyton List,INTJ
Phil Hellmuth Jr,INTJ
Post Malone,INTJ
Quavo,INTJ
Richard Feynman,INTJ
Robert DeNiro,INTJ
Robert Kiyosaki,INTJ
Rooney Mara,INTJ
Rowan Atkinson,INTJ
Rudy Giuliani,INTJ
SZA,INTJ
Sacha Baron Cohen,INTJ
Sadie Sink,INTJ
Sara Close,INTJ
Sarma Melngailis,INTJ
Saweetie,INTJ
Scarlett Johansson,INTJ
Sean Connery,INTJ
Sebastian Cocioba,INTJ
Seth McFarlane,INTJ
Sharp,INTJ
Sofia Regina Allison (aka Soccer Mommy),INTJ
Stan Lee,INTJ
Steve Bannon,INTJ
Summer Walker,INTJ
Sydney Sweeney,INTJ
Tablo of Epik High,INTJ
Tekashi69,INTJ
Teyana Taylor,INTJ
Tiger Woods,INTJ
Trent Reznor,INTJ
Tyra Banks,INTJ
Valentina Lisitsa,INTJ
Vladimir Putin,INTJ
Walt Disney,INTJ
Warren Zevon,INTJ
Yeat,INTJ,UDUF
Zachary Quinto,INTJ
Zendaya,INTJ
idubbztv,INTJ
Alex Turner,INFJ
Amal Clooney,INFJ
Ana De Armas,INFJ
Andrew Garfield,INFJ
Audrey Hepburn,INFJ
Bradley Cooper,INFJ
Brian May,INFJ
Cait Curley,INFJ
Camila Cabello,INFJ
Casey Anthony,INFJ
Chadwick Boseman,INFJ
Charlotte Gainsbourg,INFJ
Criss Angel,INFJ
Cristiano Ronaldo,INFJ
Darren Criss,INFJ
David Beckham,INFJ
David Mitchell,INFJ
David de las Morenas,INFJ
Donna Lupardo,INFJ
Dua Lipa,INFJ
Emilia Clarke,INFJ
Emily Blunt,INFJ
Emma Watson,INFJ
Felix Kjellberg (Pewdiepie),INFJ
Felix Lengyel (xQc),INFJ
Florence Welch,INFJ
Gaz Oakley,INFJ
Hamza Ahmed,INFJ
Hila Klein,INFJ
Holger Rune,INFJ
Hozier,INFJ
Ishowspeed,INFJ
JK Rowling,INFJ
Jack Tenney,INFJ
Jacob Collier,INFJ
Jennifer Lawrence (ESTP Focused),INFJ
Jiddhu Krishnamurti,INFJ
Jimmy Butler,INFJ
Joe Burrow,INFJ
John Jones,INFJ
Jon Zherka,INFJ
Jon zherka,INFJ
Justin Bonomo,INFJ
Kim Namjoon,INFJ
Kurt Cobain,INFJ
Kylie Minogue,INFJ
LaMelo Ball,INFJ
Laura Marling,INFJ
Lauryn Hill,INFJ
Leighton Meester,INFJ
Lisa Brennan-Jobs,INFJ
Margaret Atwood,INFJ
Marina Lambrini Diamandis,INFJ
Mark Hamill,INFJ
Martin Garrix,INFJ
Matt Bellamy,INFJ
Matt Mercer,INFJ
Maynard James Keenan,INFJ
Melanie Martinez,INFJ
Meredith Whittaker,INFJ
Michael Y. (Countertype),INFJ,UDSF
Michelle Williams,INFJ
Micky Burns,INFJ
Mike Einziger,INFJ
Mike Shinoda,INFJ
Mike Varshavski,INFJ
Mohammad Reza Pahlavi,INFJ
Naftali Moses,INFJ
Natalie Portman,INFJ
Nick McCarthy,INFJ
Novak Djokovic,INFJ
Oli Sykes,INFJ
Phoebe Waller-Bridge,INFJ
Pi'erre Bourne,INFJ
Ralph Macchio,INFJ
Regina George,INFJ
Sam Fender,INFJ
